16:12:29.126 - 1389 [main] INFO  com.yield.client.ClientApplication:57 - bug fix file output path:D:\yl\cli\litum-wk-client\Litum\app
16:12:30.883 - 3146 [JavaFX Application Thread] INFO  org.springframework.boot.SpringApplication:55 - Starting application using Java 1.8.0_331 on yield with PID 8000 (started by admin in D:\yl\cli\litum-wk-client\Litum\app)
16:12:30.884 - 3147 [JavaFX Application Thread] INFO  org.springframework.boot.SpringApplication:663 - No active profile set, falling back to default profiles: default
16:12:32.195 - 4458 [JavaFX Application Thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:12:32.200 - 4463 [JavaFX Application Thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
16:12:32.406 - 4669 [JavaFX Application Thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 142 ms. Found 0 Redis repository interfaces.
16:12:34.727 - 6990 [JavaFX Application Thread] INFO  org.springframework.boot.SpringApplication:61 - Started application in 4.505 seconds (JVM running for 7.257)
16:12:34.728 - 6991 [JavaFX Application Thread] INFO  org.springframework.boot.availability.ApplicationAvailabilityBean:75 - Application availability state LivenessState changed to CORRECT
16:12:34.730 - 6993 [JavaFX Application Thread] INFO  org.springframework.boot.availability.ApplicationAvailabilityBean:75 - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
16:14:46.274 - 497  [main] INFO  com.yield.client.ClientApplication:57 - bug fix file output path:D:\yl\cli\litum-wk-client\Litum\app
16:14:46.988 - 1211 [JavaFX Application Thread] INFO  org.springframework.boot.SpringApplication:55 - Starting application using Java 1.8.0_331 on yield with PID 4952 (started by admin in D:\yl\cli\litum-wk-client\Litum\app)
16:14:46.989 - 1212 [JavaFX Application Thread] INFO  org.springframework.boot.SpringApplication:663 - No active profile set, falling back to default profiles: default
16:14:47.576 - 1799 [JavaFX Application Thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:14:47.581 - 1804 [JavaFX Application Thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
16:14:47.682 - 1905 [JavaFX Application Thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 71 ms. Found 0 Redis repository interfaces.
16:14:48.836 - 3059 [JavaFX Application Thread] INFO  org.springframework.boot.SpringApplication:61 - Started application in 2.187 seconds (JVM running for 3.156)
16:14:48.838 - 3061 [JavaFX Application Thread] INFO  org.springframework.boot.availability.ApplicationAvailabilityBean:75 - Application availability state LivenessState changed to CORRECT
16:14:48.841 - 3064 [JavaFX Application Thread] INFO  org.springframework.boot.availability.ApplicationAvailabilityBean:75 - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
